time_s,phase_deg,amp_v,freq_hz
3.5700,-1.040,1.003141,99609.4
3.5800,-1.024,1.003465,99609.4
3.5900,-1.051,0.995527,99609.4
3.6000,-1.025,1.004029,99609.4
3.6100,-1.036,1.003399,99609.4
3.6200,-1.020,1.004251,99609.4
3.6300,-1.030,1.003633,99609.4
3.6400,-1.028,1.004165,99609.4
3.6500,-1.037,1.002090,99609.4
3.6600,-1.043,1.000967,99609.4
3.6700,-1.039,0.999381,99609.4
3.6800,-1.031,1.003846,99609.4
3.6900,-1.044,1.001765,99609.4
3.7000,-1.032,1.001279,99609.4
3.7100,-1.035,0.998165,99609.4
3.7200,-1.038,0.999771,99609.4
3.7300,-1.042,1.003062,99609.4
3.7400,-1.037,1.003766,99609.4
3.7500,-1.037,1.003535,99609.4
3.7600,-1.035,0.995511,99609.4
3.7700,-1.041,0.995896,99609.4
3.7800,-1.034,0.994208,99609.4
3.7900,-1.051,0.996445,99609.4
3.8000,-1.010,0.999780,99609.4
3.8100,-1.017,0.995823,99609.4
3.8200,-1.057,0.994596,99609.4
3.8300,-1.048,0.994438,99609.4
3.8400,-1.046,0.998093,99609.4
3.8500,-1.034,0.994349,99609.4
3.8600,-1.033,1.000425,99609.4
3.8700,-1.029,1.003567,99609.4
3.8800,-1.058,0.995112,99609.4
3.8900,-1.050,0.995689,99609.4
3.9000,-1.040,1.000917,99609.4
3.9100,-1.048,0.990245,99609.4
3.9200,-1.064,0.990007,99609.4
3.9300,-1.054,0.991805,99609.4
3.9400,-1.049,0.994332,99609.4
3.9500,-1.057,0.990859,99609.4
3.9600,-1.041,1.001707,99609.4
3.9700,-1.030,0.998328,99609.4
3.9800,-1.051,0.993809,99609.4
3.9900,-1.050,0.996298,99609.4
4.0000,-1.043,0.997513,99609.4
4.0100,-1.023,1.004093,99609.4
4.0200,-1.042,1.000247,99609.4
4.0300,-1.030,0.998755,99609.4
4.0400,-1.050,0.997978,99609.4
4.0500,-1.047,1.000315,99609.4
4.0600,-1.040,1.000687,99609.4
4.0700,-1.036,1.000585,99609.4
4.0800,-1.051,0.997744,99609.4
4.0900,-1.026,0.995051,99609.4
4.1000,-1.040,1.000194,99609.4
4.1100,-1.051,0.994539,99609.4
4.1200,-1.040,0.991619,99609.4
4.1300,-1.021,0.997385,99609.4
4.1400,-1.055,0.993763,99609.4
4.1500,-1.062,0.992895,99609.4
4.1600,-1.032,1.002403,99609.4
4.1700,-1.043,1.002434,99609.4
4.1800,-1.036,0.992216,99609.4
4.1900,-1.052,0.993434,99609.4
4.2000,-1.052,0.999555,99609.4
4.2100,-1.043,0.998365,99609.4
